id_geral,id_dodf_rel,tipo_rel,estado_rel,texto,anotacoes,x_tsne,y_tsne,x_umap,y_umap,x_mds,y_mds
201472172014359,20_147.21.7.2014R35,Ato_Exoneracao_Comissionado,nao_confirmado,"EXONERAR LUIZINHA FERREIRA DA SILVA do Cargo em Comissao, Simbolo DFA-06, 
de Assistente, do Nucleo de Conservacao de Proprios, da Gerencia de Execucao de Obras, da 
Conservacao e Manutencao, da Diretoria de Obras, Planejamento e Ordenamento Territorial, 
da Administracao Regional do Lago Sul, da Coordenadoria das Cidades, da Casa Civil, da 
Governadoria do Distrito Federal","['201472172014359', '2014721720143510', '2014721720143511', '2014721720143512', '20147217201435132324', '20147217201435132325']",11.42726,32.656803,-5.029151916503906,4.817768096923828,-3.0079236913072913,1.9731817275598702
2014721720143627,20_147.21.7.2014R36,Ato_Exoneracao_Comissionado,nao_confirmado,"EXONERAR, a pedido, FILIPE NOGUEIRA COIMBRA do Cargo em Comissao, Simbolo 
DFA-12, de Assessor, da Gerencia de Esporte e Lazer, da Diretoria de Servicos, da Administra-
cao Regional do Lago Norte, da Coordenadoria das Cidades, da Casa Civil, da Governadoria 
do Distrito Federal.","['2014721720143627', '2014721720143628', '2014721720143629', '2014721720143630', '2014721720143631', '20147217201436132326', '20147217201436132327']",10.973007,28.6052,-4.602688789367676,6.209232807159424,-2.0783992954778814,0.5728369384602874
2014721720143740,20_147.21.7.2014R37,Ato_Exoneracao_Comissionado,nao_confirmado,"EXONERAR, por estar sendo nomeada para outro cargo, SUELEN ALVES DE ABREU, ma-
tricula 1.655.193-1, do Cargo em Comissao, Simbolo DFG-12, de Chefe do Nucleo de Apoio a 
Feiras, da Gerencia de Servicos Publicos, da Diretoria de Servicos, da Administracao Regional 
do Cruzeiro, da Coordenadoria das Cidades, da Casa Civil, da Governadoria do Distrito Federal.","['2014721720143740', '2014721720143741', '2014721720143742', '2014721720143743', '2014721720143744', '2014721720143745', '20147217201437132328', '20147217201437132329']",3.5081267,20.966173,-3.918276786804199,7.183403491973877,-2.7498856562457044,0.6894499197639519
2014721720143848,20_147.21.7.2014R38,Ato_Exoneracao_Comissionado,nao_confirmado,"EXONERAR, por estar sendo nomeada para outro cargo, MARIA DE LOURDES DA SILVA, ma-
tricula 1.655.031-5, do Cargo em Comissao, Simbolo DFG-12, de Chefe do Nucleo de Protocolo, 
da Gerencia de Administracao, da Diretoria de Administracao Geral, da Administracao Regional 
do Cruzeiro, da Coordenadoria das Cidades, da Casa Civil, da Governadoria do Distrito Federal.","['2014721720143849', '2014721720143852', '2014721720143853', '2014721720143848', '2014721720143850', '2014721720143851', '20147217201438132330', '20147217201438132331']",3.9508977,20.707851,-4.531907081604004,7.496060848236084,-3.43588226295331,0.5072024062086267
20147217201426532,20_147.21.7.2014R2,Ato_Nomeacao_Comissionado,nao_confirmado,"NOMEAR CARLOS ALBERTO LISBOA para exercer o Cargo em Comissao, Simbolo DFG-
14, de Gerente, da Gerencia de Execucao de Obras, Conservacao e Manutencao, da Diretoria 
de Obras, da Administracao Regional do Varjao, da Coordenadoria das Cidades, da Casa Civil, 
da Governadoria do Distrito Federal.","['20147217201426530', '20147217201426536', '20147217201426532', '20147217201426533', '20147217201426534', '20147217201426535']",10.062121,31.762863,-4.592686176300049,5.436872959136963,-3.289799715220331,1.61608812627774
20147217201436544,20_147.21.7.2014R3,Ato_Nomeacao_Comissionado,nao_confirmado,"NOMEAR MICHELLY RIBEIRO DE SOUZA NOGUEIRA para exercer o Cargo em Comis-
sao, Simbolo DFA-12, de Assessor, da Gerencia de Esporte e Lazer, da Diretoria de Servicos, 
da Administracao Regional do Lago Norte, da Coordenadoria das Cidades, da Casa Civil, da 
Governadoria do Distrito Federal.","['20147217201436549', '20147217201436557', '20147217201436546', '20147217201436544', '20147217201436545', '20147217201436547', '20147217201436548', '20147217201436550', '20147217201436551', '20147217201436552', '20147217201436553', '20147217201436554', '20147217201436555', '20147217201436556']",10.952607,28.585875,-3.9816842079162598,6.425308704376221,-2.497603147426975,0.6562609169706338
20147217201441105,20_147.21.7.2014R41,Ato_Exoneracao_Comissionado,nao_confirmado,"EXONERAR, por estar sendo nomeada para outro cargo, VALERIA ABREU DA COSTA PINTO 
DA FONSECA do Cargo em Comissao, Simbolo DFA-14, de Assessor, da Coordenadoria de 
Assuntos Legislativos, da Secretaria de Estado de Governo do Distrito Federal.","['20147217201441109', '20147217201441106', '20147217201441111', '20147217201441105', '20147217201441107', '20147217201441108', '20147217201441110']",30.315458,19.95882,-4.497076034545898,10.49859619140625,-2.2844321888178887,-1.6141412346158646
20147217201442118,20_147.21.7.2014R42,Ato_Exoneracao_Comissionado,nao_confirmado,"EXONERAR, por estar sendo nomeado para outro cargo, THIAGO ALVES FERREIRA 
RODRIGUES do Cargo em Comissao, Simbolo DFA-12, de Assessor, da Diretoria de Acom-
panhamento e Controle, da Coordenadoria de Assuntos Legislativos, da Secretaria de Estado 
de Governo do Distrito Federal.","['20147217201442121', '20147217201442122', '20147217201442119', '20147217201442118', '20147217201442120', '20147217201442123', '20147217201442124']",28.962257,19.122856,-4.43021297454834,10.030049324035645,-2.0163555608298633,-1.2633201574771555
20147217201443131,20_147.21.7.2014R43,Ato_Exoneracao_Comissionado,nao_confirmado,"EXONERAR, por estar sendo nomeado para outro cargo, FABIO MAGALHAES 
CHAVES, matricula 264.801-6, do Cargo de Natureza Especial, Simbolo CNE-07, de 
Assessor Especial, da Subsecretaria de Producao de Conteudo, da Secretaria de Estado 
de Comunicacao Social do Distrito Federal.","['20147217201443132', '20147217201443131', '20147217201443133', '20147217201443134', '20147217201443135', '20147217201443136', '20147217201443137', '20147217201443138']",19.487446,10.325517,-5.526198387145996,11.666743278503418,-0.764401739510403,-2.8208760647955984
201472172014309910,20_147.21.7.2014R30,Ato_Tornado_Sem_Efeito_Exo_Nom,nao_confirmado,"TORNAR SEM EFEITO no Decreto de 03 de julho de 2014, publicado no DODF no 134, de 
04 de julho de 2014, pagina 64, o ato que exonerou, por estar sendo nomeada para outro cargo, 
ELEYDY BOTELHO FIALHO do Cargo em Comissao, Simbolo DFG-12, de Chefe, do Nu-
cleo de Apoio ao Suporte Administrativo, da Gerencia de Suporte Operacional, da Diretoria de 
Apoio Operacional, do Instituto de Defesa do Consumidor do Distrito Federal - PROCON/DF","['201472172014309918', '201472172014309919', '201472172014309910', '201472172014309911', '201472172014309912', '201472172014309913', '201472172014309914', '201472172014309915', '201472172014309917', '201472172014309920', '201472172014309921', '20147217201430132322']",-0.82038426,-8.905764,-0.7664968371391296,10.736336708068848,0.8789372298058461,-0.7238967509061776
