x_tsne,y_tsne,x_umap,y_umap,cod,documento,id,anotador,tipo,conteudo
-15.857225,-6.7452145,-9.0838995,21.127565,781321210102013,13_212.10.10.2013,R78,matheus_stauffer,Ato_Exoneracao_Comissionado,"['EXONERAR, a pedido, AMANDA RACHEL MONTEIRO KRAUZ do Cargo em Comissao, \nSimbolo DFG-12, de Chefe, do Nucleo de Licenciamento de Obras, da Gerencia de Exame, \nAprovacao e Elaboracao de Projetos, da Diretoria de Servicos, da Administracao Regional da \nCeilandia, da Coordenadoria das Cidades, da Casa Civil, da Governadoria do Distrito Federal, \ncontar de 03 de outubro de 2013.']"
-15.403303,-1.4241117,-12.970235,17.318676,791321210102013,13_212.10.10.2013,R79,matheus_stauffer,Ato_Exoneracao_Comissionado,"['EXONERAR, a pedido, DEBORA SOUZA DE REZENDE do Cargo em Comissao, Simbolo \nDFA-05, de Assistente, da Gerencia de Cultura, da Diretoria Social, da Administracao Regional \nda Ceilandia, da Coordenadoria das Cidades, da Casa Civil, da Governadoria do Distrito Federal.']"
-14.477913,-5.224065,-7.4053645,15.214012,821321210102013,13_212.10.10.2013,R82,matheus_stauffer,Ato_Exoneracao_Comissionado,"['EXONERAR, por estar sendo nomeada para outro cargo, ANDREIA DE SOUSA CASTRO do \nCargo em Comissao, Simbolo DFA-08, de Assessor Tecnico, da Gerencia de Quiosques, Trailers \ne Similares Urbana, da Diretoria de Servicos Publicos, da Coordenadoria das Cidades, da Casa \nCivil, da Governadoria do Distrito Federal.']"
-17.038038,0.6584573,-16.424595,15.909913,801321210102013,13_212.10.10.2013,R80,matheus_stauffer,Ato_Exoneracao_Comissionado,"['EXONERAR CICERO MIGUEL DA SILVA, Tecnico em Politicas Publicas e Gestao Gover-\nnamental, matricula 392.468-8, do Cargo em Comissao, Simbolo DFA-06, de Secretario Admi-\nnistrativo, do Gabinete, da Administracao Regional do Nucleo Bandeirante, da Coordenadoria \ndas Cidades, da Casa Civil, da Governadoria do Distrito Federal.']"
-14.01993,0.96178496,-14.856764,14.508885,811321210102013,13_212.10.10.2013,R81,matheus_stauffer,Ato_Exoneracao_Comissionado,"['EXONERAR ISRAEL ANDRADE RESENDE BOECHAT, matricula 1.655.733-6, do Cargo \nem Comissao, Simbolo DFA-08, de Assessor Tecnico, da Gerencia de Administracao e Logis-\ntica, da Diretoria de Planejamento e Gestao, da Coordenadoria das Cidades, da Casa Civil, da \nGovernadoria do Distrito Federal.']"
-15.216955,-5.7850633,-7.115704,16.59559,1571321210102013,13_212.10.10.2013,R157,tatiana_franco,Ato_Nomeacao_Comissionado,"['NOMEAR ANDREIA DE SOUSA CASTRO para exercer o Cargo em Comissao, Simbolo DFG- \n14, de Chefe, do Nucleo de Protocolo, da Assessoria Administrativa, da Diretoria de Analise e \nAprovacao de Projetos, do Gabinete, da Casa Civil, da Governadoria do Distrito Federal.']"
-14.886634,3.3370695,-4.9485207,15.675874,1631321210102013,13_212.10.10.2013,R163,tatiana_franco,Ato_Nomeacao_Comissionado,"['NOMEAR DANIELLA KELLY BEZERRA para exercer o Cargo em Comissao, Simbolo DFA-14, \nde Assessor, da Diretoria de Atendimento Macro - Regiao Oeste, da Assessoria de Atendimento, \nda Governadoria do Distrito Federal.']"
-14.563281,-0.57580876,-12.678214,15.903865,1581321210102013,13_212.10.10.2013,R158,tatiana_franco,Ato_Nomeacao_Comissionado,"['NOMEAR FABIANA BARBOSA SOARES para exercer o Cargo em Comissao, Simbolo DFA-\n14, de Assessor, da Gerencia de Registros, da Diretoria de Analise de Processos, da Coordenadoria \ndo Diario Oficial, da Casa Civil, da Governadoria do Distrito Federal.']"
-14.250146,0.6771777,-14.308253,14.658597,1591321210102013,13_212.10.10.2013,R159,tatiana_franco,Ato_Nomeacao_Comissionado,"['NOMEAR OMOWALE MARTINS INOCENCIO para exercer o Cargo em Comissao, \nSimbolo DFA-08, de Assessor Tecnico, da Gerencia de Administracao e Logistica, da \nDiretoria de Planejamento e Gestao, da Coordenadoria das Cidades, da Casa Civil, da \nGovernadoria do Distrito Federal.']"
-14.310865,0.69623125,-14.29246,14.618214,1601321210102013,13_212.10.10.2013,R160,tatiana_franco,Ato_Nomeacao_Comissionado,"['NOMEAR CAMILA ISABEL DA SILVA para exercer o Cargo em Comissao, Simbolo DFA-08, \nde Assessor Tecnico, da Gerencia de Administracao e Logistica, da Diretoria de Planejamento \ne Gestao, da Coordenadoria das Cidades, da Casa Civil, da Governadoria do Distrito Federal.']"
